names,places,links,imgs,scores,address,ranks
武功山商业街,芦溪,https://you.ctrip.com/shopping/luxi1445977/70161395.html,https://dimg04.c-ctrip.com/images/10071g000001hq06l82B7_C_220_140.jpg,4.7,江西省萍乡市芦溪县芦万武公路,20
芦溪县生猪定点屠宰场鲜肉直销点,芦溪,https://you.ctrip.com/shopping/luxi1445977/70140342.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,人民西路跃进超市旁,21
新天地商业步行街,芦溪,https://you.ctrip.com/shopping/luxi1445977/3292567.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,萍乡市芦溪县洋田小区b区,22
武功山超市(武功山国家级风景名...,芦溪,https://you.ctrip.com/shopping/luxi1445977/3487500.html,https://dimg04.c-ctrip.com/images/01A4k120009gl2c61E7CE_C_220_140.jpg,,萍乡市芦溪县164县道武功山国家级风景名胜区内,23
芦溪景观步行街,芦溪,https://you.ctrip.com/shopping/luxi1445977/3710333.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,袁河西路,24
水果批发部,芦溪,https://you.ctrip.com/shopping/luxi1445977/70480041.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,芥子路与759乡道交叉口西50米,25
良品铺子,玉山,https://you.ctrip.com/shopping/yushan1013/12616966.html,https://dimg04.c-ctrip.com/images/100k0k000000cmaow29F6_C_220_140.jpg,4.7,冰溪镇解放中路天恒百货对面,1
家润福,玉山,https://you.ctrip.com/shopping/yushan1013/2100566.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,5.0,新建北路,2
玉山县管氏水果店,玉山,https://you.ctrip.com/shopping/yushan1013/1954647.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,3.7,玉山县冰溪镇财富大苑二2幢1号,3
来伊份(玉山县沿河路店),玉山,https://you.ctrip.com/shopping/yushan1013/13380825.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg,5.0,沿河路D区3栋105号,4
三清山,玉山,https://you.ctrip.com/shopping/yushan1013/1719054.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,5.0,202省道三清乡,5
茶叶世界,玉山,https://you.ctrip.com/shopping/yushan1013/2010253.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg,5.0,人民大道与三清山大道交叉口旁,6
情侣石,玉山,https://you.ctrip.com/shopping/yushan1013/1876044.html,https://dimg08.c-ctrip.com/images/100f1g000001h7vig331F_C_220_140.jpg,4.7,三清山南清园景区东北部,7
玉山县英华超市,玉山,https://you.ctrip.com/shopping/yushan1013/3349687.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,5.0,江西省上饶市玉山县,8
