names,popularity,scores,links,imgs
月亮湾空中漂流,2.2,5,https://you.ctrip.com/sight/jingcounty2616/136632705.html,https://dimg04.c-ctrip.com/images/1lo6212000b3089swCA83_C_220_140.jpg
江村,4.0,4.1,https://you.ctrip.com/sight/jingde2620/55300.html,https://dimg04.c-ctrip.com/images/100b0z000000mqxkaDDDA_C_220_140.jpg
虎头峡漂流,2.1,3,https://you.ctrip.com/sight/jingcounty2616/3984593.html,https://dimg04.c-ctrip.com/images/100d0z000000mioykFBD3_C_220_140.jpg
王稼祥故居纪念馆,2.1,,https://you.ctrip.com/sight/jingcounty2616/55366.html,https://dimg04.c-ctrip.com/images/01067120009f0tr7s407E_C_220_140.jpg
遇龙河漂流,9.0,4.5,https://you.ctrip.com/sight/yangshuo702/137485.html,https://dimg04.c-ctrip.com/images/100610000000o0pbi7244_C_220_140.jpg
遇龙河,9.0,4.5,https://you.ctrip.com/sight/yangshuo702/22081.html,https://dimg04.c-ctrip.com/images/0103w120005quonp495C1_C_220_140.jpg
漓江风景名胜区,9.0,4.6,https://you.ctrip.com/sight/lingchuan3064/2888.html,https://dimg04.c-ctrip.com/images/01059120005qzc6xp3CF2_C_220_140.jpg
象鼻山景区,8.7,4.3,https://you.ctrip.com/sight/guilin28/107505.html,https://dimg04.c-ctrip.com/images/100k0z000000nk0ag0DF4_C_220_140.jpg
龙脊梯田,8.5,4.5,https://you.ctrip.com/sight/longsheng1445120/14892.html,https://dimg04.c-ctrip.com/images/0105u120005qssb4w68C4_C_220_140.jpg
独秀峰王城景区,8.4,4.6,https://you.ctrip.com/sight/guilin28/107501.html,https://dimg04.c-ctrip.com/images/01061120008h0xt649C12_C_220_140.jpg
如意峰索道景区,7.8,4.4,https://you.ctrip.com/sight/yangshuo702/5706026.html,https://dimg04.c-ctrip.com/images/0101a12000a4t7qi49F79_C_220_140.jpg
两江四湖,8.3,4.5,https://you.ctrip.com/sight/guilin28/5925.html,https://dimg04.c-ctrip.com/images/350p180000013x80v4D56_C_220_140.jpg
《印象刘三姐》山水实景演出,8.3,4.2,https://you.ctrip.com/sight/yangshuo702/22077.html,https://dimg04.c-ctrip.com/images/350l180000014eyiy54CB_C_220_140.jpg
漓江竹筏游,7.8,4.1,https://you.ctrip.com/sight/yangshuo702/1508972.html,https://dimg04.c-ctrip.com/images/100412000000sgfj23B6A_C_220_140.jpg
西街,8.2,4.4,https://you.ctrip.com/sight/yangshuo702/22079.html,https://dimg04.c-ctrip.com/images/0105z12000abrjn57B4E8_C_220_140.jpg
桂林千古情,8.0,4.6,https://you.ctrip.com/sight/yangshuo702/4734370.html,https://dimg04.c-ctrip.com/images/0101h120008s6fgti0D36_C_220_140.jpg
芦笛岩,7.8,4.7,https://you.ctrip.com/sight/guilin28/2880.html,https://dimg04.c-ctrip.com/images/10011f000001h359hC89B_C_220_140.jpg
十里画廊,7.9,4.2,https://you.ctrip.com/sight/yangshuo702/52551.html,https://dimg04.c-ctrip.com/images/100b180000014gujy1385_C_220_140.jpg
银子岩,7.9,4.4,https://you.ctrip.com/sight/lipu2020/18147.html,https://dimg04.c-ctrip.com/images/tg/963/634/210/d97f27e0107044e1a3e992fbb763e027_C_220_140.jpg
漓江三星游船,7.4,4.5,https://you.ctrip.com/sight/yangshuo702/1478560.html,https://dimg04.c-ctrip.com/images/100q1f000001gri9a3F3C_C_220_140.jpg
世外桃源,7.7,4.5,https://you.ctrip.com/sight/yangshuo702/140484.html,https://dimg04.c-ctrip.com/images/01011120009biq26n4668_C_220_140.jpg
漓江四星游船,7.6,4.6,https://you.ctrip.com/sight/guilin28/1478723.html,https://dimg04.c-ctrip.com/images/350u15000000xbq0y7ED7_C_220_140.jpg
七星景区,7.3,4.2,https://you.ctrip.com/sight/guilin28/2882.html,https://dimg04.c-ctrip.com/images/100o0x000000lcwigA292_C_220_140.jpg
兴坪古镇,7.6,4.1,https://you.ctrip.com/sight/yangshuo702/26887.html,https://dimg04.c-ctrip.com/images/0103p1200088mr92xA096_C_220_140.jpg
七星景区,7.3,4.2,https://you.ctrip.com/sight/guilin28/2882.html,https://dimg04.c-ctrip.com/images/100o0x000000lcwigA292_C_220_140.jpg
日月双塔,7.1,4.5,https://you.ctrip.com/sight/guilin28/50487.html,https://dimg04.c-ctrip.com/images/0100x120007ymb8m66429_C_220_140.jpg
东西巷,7.0,4.4,https://you.ctrip.com/sight/guilin28/1932650.html,https://dimg04.c-ctrip.com/images/100m1a0000018j7aiE42E_C_220_140.jpg
桂林融创国际旅游度假区,7.0,4.8,https://you.ctrip.com/sight/guilin28/118091268.html,https://dimg04.c-ctrip.com/images/01052120008qov2zc101E_C_220_140.jpg
叠彩山,7.0,4.6,https://you.ctrip.com/sight/guilin28/2879.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M05/C9/87/CghzfFWchQWAQL48AAgrwgUCOTY739_C_220_140.jpg
大榕树,6.9,4,https://you.ctrip.com/sight/yangshuo702/22083.html,https://dimg04.c-ctrip.com/images/100o1f000001gp5niD41B_C_220_140.jpg
九马画山,6.9,4.4,https://you.ctrip.com/sight/yangshuo702/52594.html,https://dimg04.c-ctrip.com/images/0104z120005qp51t31BDC_C_220_140.jpg
独秀峰,6.8,4.5,https://you.ctrip.com/sight/guilin28/2886.html,https://dimg04.c-ctrip.com/images/0104e1200087dihljC7C1_C_220_140.jpg
漓江古东景区,6.7,4.6,https://you.ctrip.com/sight/lingchuan3064/1412528.html,https://dimg04.c-ctrip.com/images/0105h120009pkit0hEA3D_C_220_140.jpg
月亮山,6.6,4.2,https://you.ctrip.com/sight/yangshuo702/22084.html,https://dimg04.c-ctrip.com/images/35091f000001g4ulb3E05_C_220_140.jpg
龙颈河漂流,6.6,4.7,https://you.ctrip.com/sight/yangshuo702/141510.html,https://dimg04.c-ctrip.com/images/01062120009fffp8mB970_C_220_140.jpg
桂林丹霞八角寨景区,6.5,4.5,https://you.ctrip.com/sight/ziyuan980/48674.html,https://dimg04.c-ctrip.com/images/1lo1b12000at0thzi90AF_C_220_140.jpg
资源丹霞国家地质公园,6.5,4.7,https://you.ctrip.com/sight/ziyuan980/131698.html,https://dimg04.c-ctrip.com/images/0102c12000a6e6tt650A3_C_220_140.jpg
桂林猫儿山,6.4,4.6,https://you.ctrip.com/sight/xingancounty722/18142.html,https://dimg04.c-ctrip.com/images/010411200086rsxuzAE53_C_220_140.jpg
金龙桥,6.3,4.1,https://you.ctrip.com/sight/yangshuo702/2495354.html,https://dimg04.c-ctrip.com/images/100h180000014g8ha5505_C_220_140.jpg
正阳步行街,6.3,4.3,https://you.ctrip.com/sight/guilin28/108721.html,https://dimg04.c-ctrip.com/images/100m1a0000018j7ahF40F_C_220_140.jpg
二十元人民币背景图,6.2,4.4,https://you.ctrip.com/sight/yangshuo702/69546182.html,https://dimg04.c-ctrip.com/images/0104o120009cukxluF097_C_220_140.jpg
金坑梯田,6.2,4.6,https://you.ctrip.com/sight/longsheng1445120/110465.html,https://dimg04.c-ctrip.com/images/100h1f000001gruwc22E7_C_220_140.jpg
木龙湖景区,6.1,4.2,https://you.ctrip.com/sight/guilin28/140482.html,https://dimg04.c-ctrip.com/images/010451200087cafpa1E5D_C_220_140.jpg
七星岩,6.1,4.4,https://you.ctrip.com/sight/guilin28/131503.html,https://dimg04.c-ctrip.com/images/10071f000001h709l2F11_C_220_140.jpg
杨堤兴坪漓江竹筏漂流,6.1,4.7,https://you.ctrip.com/sight/yangshuo702/131917499.html,https://dimg04.c-ctrip.com/images/0103f120009ar7ams7D37_C_220_140.png
大圩古镇,6.1,4.2,https://you.ctrip.com/sight/lingchuan3064/26740.html,https://dimg03.c-ctrip.com/images/1A0l12000000t97dkC967_C_220_140.jpg
富里桥,6.1,4.4,https://you.ctrip.com/sight/yangshuo702/52541.html,https://dimg04.c-ctrip.com/images/10080z000000mq4lbC232_C_220_140.jpg
阳朔燕莎航空运动营地,6.1,3.8,https://you.ctrip.com/sight/yangshuo702/2015797.html,https://dimg04.c-ctrip.com/images/10040z000000moymsB297_C_220_140.jpg
燕莎热气球飞行体验,6.1,3.4,https://you.ctrip.com/sight/yangshuo702/2482881.html,https://dimg04.c-ctrip.com/images/100m1h000001hu9olFC0F_C_220_140.jpg
