names,places,popularity,scores,links,imgs
翠屏峰,广元,3.3,4.5,https://you.ctrip.com/sight/jiange3115/1830048.html,https://dimg04.c-ctrip.com/images/0100t1200099w3oth4DF3_C_220_140.jpg
剑阁道,广元,3.3,4,https://you.ctrip.com/sight/jiange3115/98280054.html,https://dimg04.c-ctrip.com/images/1A0g180000013zq34B83A_C_220_140.jpg
汉江源景区,广元,5.0,3.8,https://you.ctrip.com/sight/ningqiang2731/2590695.html,https://dimg03.c-ctrip.com/images/350o180000013peiiA8CE_C_220_140.jpg
漫天岭国际滑草场,广元,3.2,4.3,https://you.ctrip.com/sight/guangyuan593/2477461.html,https://dimg04.c-ctrip.com/images/300g1g000001gzr10ED79_C_220_140.jpg
大云寺,广元,3.2,4.3,https://you.ctrip.com/sight/guangyuan593/4592300.html,https://dimg07.c-ctrip.com/images/0106g120009hlogrq1A4F_C_220_140.jpg
月坝,广元,3.2,5,https://you.ctrip.com/sight/guangyuan593/5710286.html,https://dimg05.c-ctrip.com/images/0101j120009dd0gtmFD14_C_220_140.jpg
地震博物馆,广元,3.2,5,https://you.ctrip.com/sight/qingchuan1446240/3167448.html,https://dimg04.c-ctrip.com/images/0105t12000axr8x4qA3F6_C_220_140.jpg
天曌山国家森林公园,广元,3.1,4.7,https://you.ctrip.com/sight/guangyuan593/128112.html,https://dimg08.c-ctrip.com/images/100ihk114xg6ryzo18B43_C_220_140.jpg
皇泽大桥,广元,3.1,4,https://you.ctrip.com/sight/guangyuan593/5259357.html,https://dimg03.c-ctrip.com/images/0100q1200092m8ceuEE7D_C_220_140.jpg
临江寺,广元,3.1,5,https://you.ctrip.com/sight/cangxi3111/1829833.html,https://dimg04.c-ctrip.com/images/01005120009x6bxav24FD.webp
唐家河自驾露营地,广元,3.1,5,https://you.ctrip.com/sight/qingchuan1446240/133964710.html,https://dimg08.c-ctrip.com/images/01033120009eh0xlq41B5_C_220_140.jpg
苍溪梨博园,广元,3.0,4.5,https://you.ctrip.com/sight/cangxi3111/70415.html,https://dimg04.c-ctrip.com/images/100p1f000001gpffl3F42_C_220_140.jpg
明月峡古栈道遗址,广元,3.0,4.6,https://you.ctrip.com/sight/guangyuan593/1416276.html,https://dimg04.c-ctrip.com/images/0102t120008qjbhpjCD08_C_220_140.jpg
天雄关古蜀道,广元,3.0,4,https://you.ctrip.com/sight/guangyuan593/69288782.html,https://dimg03.c-ctrip.com/images/0104s12000856fcqr21CD_C_220_140.jpg
天成欢乐谷游乐场（摩尔天成店）,广元,3.0,4,https://you.ctrip.com/sight/guangyuan593/2018159.html,https://dimg04.c-ctrip.com/images/0101912000axlhgo16F30_C_220_140.jpg
蜀道五指山旅游度假区,广元,3.0,3.3,https://you.ctrip.com/sight/guangyuan593/136468783.html,https://dimg04.c-ctrip.com/images/1lo2c12000azz1xgz8CAC_C_220_140.jpg
川洞庵,广元,3.0,4,https://you.ctrip.com/sight/guangyuan593/5072389.html,https://dimg02.c-ctrip.com/images/100q0z000000nmribBD85_C_220_140.jpg
昭化县署,广元,3.0,4.6,https://you.ctrip.com/sight/guangyuan593/5701230.html,https://dimg04.c-ctrip.com/images/0103h1200089itad474F6_C_220_140.jpg
如意花海,广元,3.0,4.8,https://you.ctrip.com/sight/guangyuan593/133549328.html,https://dimg04.c-ctrip.com/images/0105p120009awuaym6C01_C_220_140.jpg
金牛道拦马墙,广元,2.9,,https://you.ctrip.com/sight/jiange3115/136010169.html,https://dimg04.c-ctrip.com/images/01A2712000aqjawozBE27_C_220_140.jpg
平乐多彩水世界,广元,2.9,1.5,https://you.ctrip.com/sight/guangyuan593/133941015.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738_C_220_140.jpg
剑门关漂流,广元,2.9,4.3,https://you.ctrip.com/sight/jiange3115/2484977.html,https://dimg04.c-ctrip.com/images/100g0h000000965hmDCA2_C_220_140.jpg
西沟栈道遗址,广元,4.5,4.8,https://you.ctrip.com/sight/ningqiang2731/1834420.html,https://dimg04.c-ctrip.com/images/0101812000b243xjgD330_C_220_140.jpg
望远山,广元,2.9,5,https://you.ctrip.com/sight/guangyuan593/5072710.html,https://dimg04.c-ctrip.com/images/0100c120009e4grioB124_C_220_140.jpg
鹿亭溪,广元,2.9,,https://you.ctrip.com/sight/wangcang1446225/69291699.html,https://dimg04.c-ctrip.com/images/01A4h120008z1z9nc6EA4_C_220_140.jpg
金牛道,广元,2.8,,https://you.ctrip.com/sight/jiange3115/98280042.html,https://dimg04.c-ctrip.com/images/01A50120009fvrx4g388A_C_220_140.jpg
石板街,广元,2.8,5,https://you.ctrip.com/sight/guangyuan593/98276784.html,https://dimg04.c-ctrip.com/images/0103j12000853d8llE7A3_C_220_140.jpg
昭化药博园,广元,2.7,4,https://you.ctrip.com/sight/guangyuan593/134047594.html,https://dimg04.c-ctrip.com/images/0100l120009ifenso8F39_C_220_140.jpg
先秦古蜀道,广元,2.7,,https://you.ctrip.com/sight/jiange3115/4592063.html,https://dimg04.c-ctrip.com/images/100q0z000000nkjme40C8_C_220_140.jpg
紫兰湖山水欢歌水上乐园,广元,2.7,1,https://you.ctrip.com/sight/guangyuan593/5716984.html,https://dimg02.c-ctrip.com/images/0106w120008v1ny9tCE47_C_220_140.jpg
鼓城山,广元,2.7,4.4,https://you.ctrip.com/sight/wangcang1446225/1830720.html,https://dimg04.c-ctrip.com/images/0106i1200062hbjih199D_C_220_140.jpg
红军血战剑门关遗址,广元,2.7,,https://you.ctrip.com/sight/jiange3115/5066617.html,https://dimg04.c-ctrip.com/images/0103g12000b6t3mld21DC_C_220_140.jpg
川北民俗文化园,广元,2.6,4.3,https://you.ctrip.com/sight/guangyuan593/128113.html,https://dimg06.c-ctrip.com/images/01042120008qiwlly0B29_C_220_140.jpg
雪溪洞峡谷漂流,广元,2.6,,https://you.ctrip.com/sight/guangyuan593/5710501.html,https://dimg04.c-ctrip.com/images/0106v120004i512b7BE04_C_220_140.jpg
姜维祠,广元,2.6,3,https://you.ctrip.com/sight/jiange3115/99496984.html,https://dimg04.c-ctrip.com/images/010571200094e3fnw371A_C_220_140.jpg
汉城墙遗址,广元,2.6,,https://you.ctrip.com/sight/guangyuan593/98276781.html,https://dimg04.c-ctrip.com/images/0106x120008bwdse46F0D_C_220_140.jpg
清真寺,广元,2.6,5,https://you.ctrip.com/sight/guangyuan593/4597991.html,https://dimg04.c-ctrip.com/images/0104012000bbduxl7B64E_C_220_140.jpg
红军城景区,广元,2.6,,https://you.ctrip.com/sight/wangcang1446225/69564591.html,https://dimg04.c-ctrip.com/images/01A4g120008yy391761AE_C_220_140.jpg
红军攻克剑门关纪念馆,广元,2.6,,https://you.ctrip.com/sight/jiange3115/4475728.html,https://dimg04.c-ctrip.com/images/0102x12000axn0hrr3562_C_220_140.jpg
狮岭村,广元,2.6,4.5,https://you.ctrip.com/sight/cangxi3111/1713560.html,https://dimg04.c-ctrip.com/images/100c1d000001erejtC088_C_220_140.jpg
五峰峡漂流,广元,2.6,,https://you.ctrip.com/sight/cangxi3111/1739081.html,https://dimg02.c-ctrip.com/images/fd/tg/g3/M08/3E/54/CggYG1XKzJ2AIUX4AAEnkKCqkTA725_C_220_140.jpg
