names,places,links,imgs,scores,address,ranks
林来香燕窝,普吉岛,https://you.ctrip.com/shopping/phuket364/1447849.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M00/15/1B/CggYGVZ6LwCAbnFZAACct1os9Gc585_C_220_140.jpg,4.7,"Talat Nuea, Mueang Phuket District 83000",16
乐购莲花超市（普吉镇店）,普吉岛,https://you.ctrip.com/shopping/phuket364/1439438.html,https://dimg04.c-ctrip.com/images/0101x22154mnpcqe85892_C_220_140.jpg,4.4,"Ratsada, Mueang Phuket District",17
宝石画廊（普吉岛店）,普吉岛,https://you.ctrip.com/shopping/phuket364/1356135.html,https://dimg08.c-ctrip.com/images/01A2q120009mqivacD90C_C_220_140.jpg,4.1,"99/35, 888 Moo 5,Chaloemphrakiat Rama 9 Road | Ratsada, Phuket Town, Phuket 83000, Thailand",18
娜莱雅（普吉岛暹罗梦幻剧场店）,普吉岛,https://you.ctrip.com/shopping/phuket364/1447843.html,https://dimg04.c-ctrip.com/images/100w1d000001en7xjCB64_C_220_140.jpg,4.5,"Siam Niramit (Phuket), 55/81 Moo 5, Rassada, Muang, Phuket 83000",19
普吉岛奥特莱斯(Koh Gaew),普吉岛,https://you.ctrip.com/shopping/phuket364/1356127.html,https://dimg04.c-ctrip.com/images/0106w1200088qijhn261F_C_220_140.jpg,3.8,"888, 888/1 Moo 2 Koh Gaew, Muang Phuket, Phuket 83000",20
屈臣氏,普吉岛,https://you.ctrip.com/shopping/phuket364/1447869.html,https://dimg04.c-ctrip.com/images/fd/tg/g4/M0A/1C/FF/CggYHFZ6I92ABX9OAACcOyYUoG8376_C_220_140.jpg,4.3,"18 Tilok-Uthit 1 Rd., Talad Mai, Unit no. S-1, 1st Fl., Talad Mai, Muang, Phuket 83000泰国",21
Malin Plaza,普吉岛,https://you.ctrip.com/shopping/phuket364/1447862.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M0A/EB/D8/CggYGlZ6BrmAF7PAAACD2fL3xvE291_C_220_140.jpg,4.4,"52 83150 162/51-52 ภก.4055 Patong, Kathu District, Phuket 83150",22
Big C Extra,普吉岛,https://you.ctrip.com/shopping/phuket364/1453526.html,https://dimg04.c-ctrip.com/images/100g190000016e1fy60E2_C_220_140.jpg,4.5,"Jungceylon 201 Thanon Ratuthit Songroipi Rd, Kathu, Amphoe Kathu, Chang Wat Phuket 83150",23
Lee（Central Festival普吉购物...,普吉岛,https://you.ctrip.com/shopping/phuket364/20148.html,https://dimg04.c-ctrip.com/images/100b0g0000007ovqx5C99_C_220_140.jpg,4.2,"""Central Festival Phuket 75 Moo 5 ,Chalermprakiat Rd. ,Vichit, Muang Phuket, Phuket, 83000""",24
毒蛇研究中心,普吉岛,https://you.ctrip.com/shopping/phuket364/1362521.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M05/BB/66/CghzgFSoubOACmKpAAE2uEOY-uI127_C_220_140.jpg,4.1,"45/9 Moo 1, Soi Taaiad Chaofa RD., T.Chalong, A.Muang Phuket 83000",25
黄竞生腰果工厂,普吉岛,https://you.ctrip.com/shopping/phuket364/1446630.html,https://dimg04.c-ctrip.com/images/100i0c00000067u0yB4EB_C_220_140.jpg,4.3,"26/3 Surin Rd., T.Taladyai, A.Muang, Phuket",26
BIG C Extra Phuket 2（芭东店）,普吉岛,https://you.ctrip.com/shopping/phuket364/44523.html,https://dimg04.c-ctrip.com/images/1005190000016xppb1D36_C_220_140.jpg,4.5,"""201 Rat U-Thit 200 Pee Rd., Patong, Kathu Phuket 83150""",27
运河村庄,普吉岛,https://you.ctrip.com/shopping/phuket364/1356126.html,https://dimg04.c-ctrip.com/images/100chk114zwxdy6kw75CB_C_220_140.jpg,4.1,"Lagoona Phuket Tambon Choeng Thale, Chang Wat Phuket 83110",28
新罗GMS免税店,普吉岛,https://you.ctrip.com/shopping/phuket364/1770607.html,https://dimg04.c-ctrip.com/images/zd0m0p000000fu3lk3956_C_220_140.jpg,4.0,"Tambon Kathu, Amphoe Kathu, Chang Wat Phuket 83120, Thailand",29
陶瓷屋,普吉岛,https://you.ctrip.com/shopping/phuket364/1356130.html,https://dimg04.c-ctrip.com/images/100l1c000001dytdoA89B_C_220_140.jpg,4.1,"71/3 Vichitsongkram Rd., Kathu, Phuket 83120",30
711,普吉岛,https://you.ctrip.com/shopping/phuket364/1383740.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M09/83/74/CghzflVAQRKAXHECAAEKgEXqOCw185_C_220_140.jpg,4.6,"Tambon Chalong, Amphoe Mueang Phuket Chang Wat",31
屈臣氏(Thaveewong Road),普吉岛,https://you.ctrip.com/shopping/phuket364/1383745.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M03/B3/FD/CghzgFW7TBaAEcsfAAA71LZQBHI946_C_220_140.jpg,4.5,"94,Thaweewong Rd,Patong",32
尚泰普吉购物中心,普吉岛,https://you.ctrip.com/shopping/phuket364/2286336.html,https://dimg04.c-ctrip.com/images/1A061b000001ad31xF20A_C_220_140.jpg,4.7,市区Vichitsongkram路5区74-75号,33
王权免税店(普吉机场店),普吉岛,https://you.ctrip.com/shopping/phuket364/2346924.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.1,"222 Moo 6 Tambon Maikhao, Talang District",34
清迈第一平价特产商场普吉店,普吉岛,https://you.ctrip.com/shopping/phuket364/2873749.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0A/01/C3/CghzflW7TBeAZ2_iAABA4yZETpI233_C_220_140.jpg,4.1,8 อาคาร บียอน ป่าตอง ถนน สวัสดิรักษ์,35
Bangla Mall,普吉岛,https://you.ctrip.com/shopping/phuket364/1383741.html,https://dimg04.c-ctrip.com/images/100o190000016lzww60B9_C_220_140.jpg,3.5,"芭东海滩 Bangla, Phuket 83150, Thailand(Moon Bar对面)",36
波尔苏思,普吉岛,https://you.ctrip.com/shopping/phuket364/1442501.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M07/E8/E0/CggYG1XIc8eAacdLAAK2b9ZabQ8268_C_220_140.jpg,4.1,"1/20 Moo 5, Chalong, Phuket Town, Phuket 83100, Thailand",37
