names,places,links,imgs,popularity,scores,addresses
匈牙利自由女神像,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483136.html,https://dimg04.c-ctrip.com/images/100h1f000001grvy4E6E8_C_220_140.jpg,5.6,4.5,"Citadel of Setany Gellért Hill, Budapest 1118, Hungary"
三位一体广场,布达佩斯,https://you.ctrip.com/sight/budapest1109/134970.html,https://dimg04.c-ctrip.com/images/100q1f000001grkl69BC3_C_220_140.jpg,5.6,4.3,1014 Budapest
伊丽莎白桥,布达佩斯,https://you.ctrip.com/sight/budapest1109/134976.html,https://dimg04.c-ctrip.com/images/01003120009oje9heC23C_C_220_140.jpg,5.4,4.6,伊丽莎白桥横跨多瑙河，布达一侧是自由山，佩斯一侧是瓦茨大街和Ferenciek tere广场。
盖勒特山及雕像,布达佩斯,https://you.ctrip.com/sight/budapest1109/1742140.html,https://dimg04.c-ctrip.com/images/01030120007orthxeD5F9_C_220_140.jpg,5.4,4,Buda ， District 1 | next to Citadel ， Budapest ， Hungary
齐塔代拉,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483113.html,https://dimg04.c-ctrip.com/images/100p1f000001gpg2c373E_C_220_140.jpg,5.3,4.1,"Budapest, 1118 Hungary"
布达佩斯自由广场,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483112.html,https://dimg04.c-ctrip.com/images/100n1f000001gpafo43E7_C_220_140.jpg,5.1,4.4,"Budapest, Hungary"
烟草街犹太教堂,布达佩斯,https://you.ctrip.com/sight/budapest1109/52710.html,https://dimg04.c-ctrip.com/images/1A091f000001guis2CF8F_C_220_140.jpg,5.1,4.2,"Budapest, Dohány u. 2, 1074 Hungary"
Margaret Island (Margitsziget),布达佩斯,https://you.ctrip.com/sight/budapest1109/1483107.html,https://dimg04.c-ctrip.com/images/01019120009hxrhq57841_C_220_140.jpg,5.1,4.1,"Margaret Island 23800, Budapest 1007, Hungary"
恐怖之屋,布达佩斯,https://you.ctrip.com/sight/budapest1109/5131565.html,https://dimg04.c-ctrip.com/images/0103c12000am5bpkf9FE1_C_220_140.jpg,4.9,4,"Andrassy ut 60, Budapest 1062, Hungary"
布达佩斯历史博物馆,布达佩斯,https://you.ctrip.com/sight/budapest1109/134969.html,https://dimg04.c-ctrip.com/images/10020i0000009exylE87F_C_220_140.jpg,4.8,4.1,"St. George's Square 2 | Royal Palace E building, Budapest 1014, Hungary"
千年纪念碑,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483129.html,https://dimg04.c-ctrip.com/images/100f1f000001gqbin1576_C_220_140.jpg,4.7,4.1,"Budapest H? S? K tere, 1146 Hungary"
Vajdahunyad Castle,布达佩斯,https://you.ctrip.com/sight/budapest1109/4004957.html,https://dimg04.c-ctrip.com/images/100fhk124d99t2o5s3178_C_220_140.jpg,4.7,4.2,"Budapest, Vajdahunyad stny., 1146 Hungary"
弗洛斯马提广场,布达佩斯,https://you.ctrip.com/sight/budapest1109/134971.html,https://dimg04.c-ctrip.com/images/10051f000001gstuv6354_C_220_140.jpg,4.7,4.1,"Budapest, 1051"
玛格丽特桥,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483141.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M00/7F/5F/CggYG1ZxEpyAa21xABgUjVaFaTI599_C_220_140.jpg,4.5,4,"Budapest, Hungary"
胖警察雕像,布达佩斯,https://you.ctrip.com/sight/budapest1109/1686411.html,https://dimg05.c-ctrip.com/images/100h1f000001grvmu2FB7_C_220_140.jpg,4.4,4.5,"Rantakatu 6, 90100 Oulu"
布达佩斯地铁博物馆,布达佩斯,https://you.ctrip.com/sight/budapest1109/1697736.html,https://dimg04.c-ctrip.com/images/100p1b000001aabx0E5F8_C_220_140.jpg,4.2,4.1,"Budapest, Erzsébet tér 14, 1051 Hungary"
匈牙利农业博物馆,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483081.html,https://dimg04.c-ctrip.com/images/100e1f000001gt1qi2292_C_220_140.jpg,4.2,4.4,"Budapest, Vajdahunyad stny., 1146 匈牙利"
布达佩斯动植物园,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483049.html,https://dimg04.c-ctrip.com/images/100p1f000001gpe5wB017_C_220_140.jpg,4.2,4.7,"Allatkertti dogs 6-12., Budapest 1146, Hungary"
民俗博物馆,布达佩斯,https://you.ctrip.com/sight/budapest1109/1788615.html,https://dimg04.c-ctrip.com/images/fd/tg/g4/M05/88/E6/CggYHlZxLyuABUfvACyQKwgd1P8276_C_220_140.jpg,4.1,4,"Kossuth Lajos ter 12, Budapest 1055, Hungary"
